feature_id,name,type,values,missing_token
f_e_91,Do you have a fever (either felt or measured with a thermometer)?,binary,"[""yes"", ""no""]",unknown
f_e_55_v_89,Do you feel pain somewhere? [forehead],binary,"[""yes"", ""no""]",unknown
f_e_55_v_29,Do you feel pain somewhere? [lower chest],binary,"[""yes"", ""no""]",unknown
f_e_55_v_101,Do you feel pain somewhere? [upper chest],binary,"[""yes"", ""no""]",unknown
f_e_55_v_55,Do you feel pain somewhere? [side of the chest(R)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_159,Do you feel pain somewhere? [breast(R)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_197,Do you feel pain somewhere? [epigastric],binary,"[""yes"", ""no""]",unknown
f_e_55_v_62,Do you feel pain somewhere? [top of the head],binary,"[""yes"", ""no""]",unknown
f_e_55_v_166,Do you feel pain somewhere? [temple(R)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_56,Do you feel pain somewhere? [side of the chest(L)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_160,Do you feel pain somewhere? [breast(L)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_148,Do you feel pain somewhere? [pharynx],binary,"[""yes"", ""no""]",unknown
f_e_55_v_167,Do you feel pain somewhere? [temple(L)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_21,Do you feel pain somewhere? [tonsil(L)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_137,Do you feel pain somewhere? [palace],binary,"[""yes"", ""no""]",unknown
f_e_55_v_20,Do you feel pain somewhere? [tonsil(R)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_108,Do you feel pain somewhere? [cheek(R)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_109,Do you feel pain somewhere? [cheek(L)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_25,Do you feel pain somewhere? [back of head],binary,"[""yes"", ""no""]",unknown
f_e_55_v_170,Do you feel pain somewhere? [posterior chest wall(R)],binary,"[""yes"", ""no""]",unknown
f_e_55_v_33,Do you feel pain somewhere? [thyroid cartilage],binary,"[""yes"", ""no""]",unknown
f_e_53,"Do you have pain somewhere, related to your reason for consulting?",binary,"[""yes"", ""no""]",unknown
